Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2007-10-05,32.40531921386719,35.27219204445796,26.78431656491536,28.92641850564895,855215656
2007-10-08,30.746387481689453,33.50051617415573,30.55311444959721,33.50051617415573,126671715
2007-10-09,32.840187072753906,33.130094594183404,29.103589104779093,30.762508492606056,116725709
2007-10-10,33.14619827270508,33.822652011990925,32.856290775593344,33.6938025364266,67931378
2007-10-11,36.85056686401367,38.654441255291076,32.85627637770815,38.654441255291076,106320954
2007-10-12,36.60898971557617,37.97800135541834,35.755371566893814,36.07749195273903,99410791
2007-10-15,37.092159271240234,37.591448342343256,36.770038981123214,37.36596239164692,41814972
2007-10-16,40.877079010009766,41.521324059042456,36.88278766784216,37.14048219222585,138614496
2007-10-17,44.066078186035156,45.09686075353774,34.176978847653665,36.721731093523104,204876259
2007-10-18,42.5198860168457,48.140886692601015,40.69990729500841,44.774727993750375,146617799
2007-10-19,42.37494659423828,44.098291470370825,40.26505552137122,41.553537018436714,110266491
2007-10-22,41.81123352050781,43.11581921320195,40.426113369868766,41.52132607424655,72253405
2007-10-23,44.79084014892578,45.193490533584466,42.842009665756,42.842009665756,74594921
2007-10-24,44.0982780456543,46.224272742409134,43.598988996116276,45.74108795906698,63055170
2007-10-25,44.001651763916016,45.032438686395494,38.863830160335226,42.600427293026975,34522489
2007-10-26,45.32233810424805,46.04710880177301,43.56678066707306,44.77473182961466,62370025
2007-10-29,46.24037170410156,47.35168827713475,45.837721405036696,46.06320732012716,43657697
2007-10-30,47.27116775512695,48.54354033547469,45.48339744514302,46.86851737482015,79921711
2007-10-31,48.25362777709961,49.31662728889559,47.35169276924464,47.51275290414987,44655368
2007-11-01,47.17451858520508,49.81590624211292,46.7879769272174,49.44546884815317,50632492
2007-11-02,48.02814483642578,48.31805659256738,45.09684932450071,45.467291153118076,32001693
2007-11-05,49.010616302490234,50.08972019063716,47.706026454777245,47.99593822251539,38833135
2007-11-06,49.65486145019531,52.79553468966793,48.978407878655425,49.86423879235283,81880281
2007-11-07,48.930091857910156,51.28156859126738,47.83488357619634,50.57290646499925,33593141
2007-11-08,48.09257507324219,49.39716498897536,47.02957976623275,47.67382040539882,27990521
2007-11-12,49.25221252441406,50.121939195416594,45.370659781946294,46.6430368804432,35153735
2007-11-13,50.427940368652344,51.44261836024825,48.495218720265534,50.08971582779898,43830531
2007-11-14,49.76759338378906,52.022435208622554,49.50989455381527,51.313768887489196,36738579
2007-11-15,50.60512161254883,51.49095258636795,49.65486482029173,50.70175597116887,29242252
2007-11-16,50.25077438354492,51.39429957523419,49.67095528585691,50.379621615574806,18895294
2007-11-19,52.07075881958008,53.95516345169063,51.00776357533115,51.39430531458704,40716718
2007-11-20,51.26546859741211,53.31093379991628,50.63733213468567,51.861392149658734,26342171
2007-11-21,47.27116775512695,51.877486358222235,46.127638053633895,51.57147469061081,26814499
2007-11-22,45.644466400146484,48.672401339242775,43.663427020785846,46.771887682437246,34096185
2007-11-23,48.672401428222656,48.96230888467714,45.93437394004536,48.640188517719466,27664090
2007-11-26,49.05894088745117,50.47626956008505,48.672399087116595,50.47626956008505,20159123
2007-11-27,47.85099411010742,49.89645940980768,47.35170926557528,49.89645940980768,20573198
2007-11-28,47.14231872558594,49.12336220065311,46.82019840366106,48.89787622769111,16435311
2007-11-29,45.86994552612305,48.57575532408329,45.27402206389076,48.31806081724381,25530967
2007-11-30,47.6416015625,47.93150894018896,46.063213067050405,46.70745362593072,18437721
2007-12-03,48.31806182861328,48.91398530331913,47.85098561002413,48.22142310974836,16851227
2007-12-04,47.689910888671875,49.04281758746838,47.33557776574563,48.640167304378366,14008727
2007-12-05,49.59043884277344,49.76760765839108,47.673825363353394,47.77045972166345,27725290
2007-12-06,48.672401428222656,51.426528818095896,48.04426496504036,50.669545081937954,24104710
2007-12-07,48.46302032470703,49.67097171650708,47.593297944033296,48.97841379234915,11742386
2007-12-10,48.511329650878906,49.10724869210048,47.88319333781675,48.93008428022964,8330010
2007-12-11,48.28585433959961,49.2200025125451,48.04426406888766,48.94619933193082,11685950
2007-12-12,48.25362777709961,48.68849101515089,47.35169276924464,47.6738130390551,16342131
2007-12-13,47.448333740234375,48.96230096775034,47.27116931466898,48.31806033800506,14620172
2007-12-14,46.981258392333984,47.72213775146614,46.739668151776286,47.28727444465499,10991851
2007-12-17,44.146602630615234,47.512761830132135,43.486253332025846,47.25506294444971,19355678
2007-12-18,43.95331954956055,45.41896497117043,42.58430845742813,43.64730355782259,21607783
2007-12-19,43.148033142089844,45.75720895816562,42.7775955981678,45.370662774659195,19526912
2007-12-20,42.713157653808594,44.0660645430225,42.519884616915775,43.71173137022497,17105204
2007-12-24,44.01776123046875,44.71031915903163,43.00307855967319,43.35741184399567,16711519
2007-12-26,45.35455322265625,45.90215952401642,44.259344988972444,44.259344988972444,20930094
2007-12-27,45.676658630371094,46.932926616623526,45.290112618123366,46.28868617556739,44565277
2007-12-28,46.03099822998047,46.22427126332581,45.09684596365061,45.5800263624961,18354518
2007-12-31,46.369224548339844,46.6430276587101,45.805514061298204,46.38533318367685,11982308
2008-01-01,47.22285461425781,47.657717976149854,46.17596343923924,46.61082680113128,16687746
2008-01-02,46.965145111083984,47.57717272923861,46.272587428197546,47.22283957061152,13437280
2008-01-03,48.89787673950195,49.09114980848715,46.11153679949464,46.675247368763486,31815218
2008-01-04,48.64017868041992,50.250780189469964,48.31805837860991,49.606539585849944,28011310
2008-01-07,48.237525939941406,49.34883830531964,47.722132608487904,48.334160278135684,15858063
2008-01-08,46.594722747802734,48.96230828999292,46.031012112473505,48.28585465379043,13282666
2008-01-09,45.85384750366211,46.85242159464218,45.74110449243191,46.64304421323606,13113527
2008-01-10,44.75863265991211,47.35170407228419,44.45261658293062,46.063222685476745,18023003
2008-01-11,45.4350700378418,45.86993322441575,43.64730013060112,45.37064424389185,11629440
2008-01-14,46.12765121459961,46.610831808827015,44.79085244437795,45.515623335719056,10264240
2008-01-15,44.72642135620117,47.06179395358193,44.35598381801024,46.86852523385586,11558334
2008-01-16,43.80836486816406,44.7747256651514,42.69705257305006,44.404288233446735,14834065
2008-01-17,44.98411560058594,45.98268948147223,43.035285013735695,43.969433082034534,16169395
2008-01-18,42.89033889770508,44.662000907875615,42.51989698216703,44.61367935782312,13254156
2008-01-21,35.59431838989258,42.519908050653186,31.00409980231121,42.519908050653186,33202389
2008-01-22,32.018768310546875,33.822643012313684,25.431405887615878,32.08319193892749,58755707
2008-01-23,35.59431838989258,36.96333029957782,32.53417412118441,32.53417412118441,28425991
2008-01-24,35.674827575683594,38.2034724935111,33.9836962086636,37.510914807491,29911930
2008-01-25,37.510929107666016,37.68809357080323,35.99696155907823,37.36597318761752,12550722
2008-01-28,37.91356658935547,38.20347396103091,33.98369751408806,36.995522938186724,13601109
2008-01-29,37.285438537597656,38.55781564338187,36.72172793587699,38.01020931123851,7679877
2008-01-30,35.22386169433594,37.52702078751156,34.75678554782299,37.365960649960314,9016102
2008-01-31,32.92070770263672,35.69094355543248,32.5341637238676,35.5943070146106,41538563
2008-02-01,34.06422424316406,34.30581442405125,33.178393579911045,33.48440737213128,9089201
2008-02-04,35.819793701171875,36.23855062206841,34.7084788536331,34.7084788536331,12009385
2008-02-05,36.93110656738281,37.41428709991377,35.11112743532358,35.884215413565734,14593303
2008-02-06,36.60898971557617,37.04385311027468,34.56352657617025,35.916431759816426,12429218
2008-02-07,34.885650634765625,37.3498731566253,34.66016677783884,36.109708666749626,11300078
2008-02-08,33.983707427978516,35.40103616777848,33.35557096524222,35.111128711529844,13514197
